Y,X,region,year
115.72,2726.4,A,1
130.6,3770,A,1
172.8,3490,A,1
135.6,4788,A,1
128.8,3932,A,1
177.2,5634,A,1
236.2,5370,A,1
201,5042,A,1
152.6,4254,A,1
93,4368,B,1
158,3980,B,1
197,4870,B,1
226.2,4198,B,1
180.6,3872,B,1
229.6,3832,B,1
141.2,3726,B,1
108,3259.2,B,1
123,2715.2,B,1
117,3288,B,1
116,3788,B,1
128,4002,B,1
132.7570479,4416,C,1
127.648455,4442,C,1
174.2221118,3348,C,1
142.8263353,3018,C,1
136.8056248,2768,C,1
134.4553142,2436,C,1
255.8522621,2974,C,1
129.2347913,3752,C,1
126.7590801,2794,C,1
150.0733509,2878,C,1
163.1970737,2718,C,1
79.18535286,1684.8,C,1
153.1314648,1960,C,1
210.8034199,3152,C,1
143.5438789,3480,C,1
137.4779193,3628,C,1
256,3840,D,1
155,3402,D,1
256,4176,D,1
164,4094,D,1
234,3676,D,1
194,3864,D,1
182,3506,D,1
230,5138,D,1
210,4320,D,1
196.8,4012,D,1
326,5114,D,1
324,3040,D,1
204,3704,D,1
158,3176,A,2
118,4038,A,2
240,3664,A,2
116,5190,A,2
140,4618,A,2
166,6032,A,2
302,5822,A,2
208,5428,A,2
182,4358,A,2
124,4538,B,2
168,4344,B,2
158,5482,B,2
246,4870,B,2
198,4246,B,2
243.2,3361.6,B,2
198.4,3240,B,2
134,4034,B,2
134,2980,B,2
154,3272,B,2
76,3998,B,2
172,4126,B,2
171.3260642,4088,C,2
268.2770394,4003.2,C,2
152.9809478,3656,C,2
179.9790854,2460,C,2
197.4335788,2848,C,2
122.4096758,2280,C,2
96.27892635,3082,C,2
278.9566625,3902,C,2
152.7031192,2810,C,2
143.1001139,2142.4,C,2
136.6134135,1755.2,C,2
210.2373189,1682,C,2
137.1342466,2164,C,2
157.4684065,2788,C,2
169.1429518,3280,C,2
129.6481989,3578,C,2
256,3404,D,2
120,2856,D,2
256,3900,D,2
164,4200,D,2
234,2822,D,2
194,3574,D,2
182,3100,D,2
230,5434,D,2
210,4896,D,2
196.8,3323.2,D,2
326,5456,D,2
324,5812,D,2
204,4546,D,2
90,2594,A,3
82,3862,A,3
160,2728,A,3
142,5172,A,3
220,4266,A,3
254,6484,A,3
234,4232,A,3
190,6224,A,3
220,4494,A,3
62,4730,B,3
148,4522,B,3
236,6212,B,3
206.4,3347.2,B,3
163.2,3179.2,B,3
216,4548,B,3
84,4444,B,3
82,4050,B,3
112,4270,B,3
80,3298,B,3
156,4360,B,3
84,4420,B,3
305.7062544,4628.8,C,3
181.1680912,4294.4,C,3
274.3502243,4136,C,3
150.1980574,2362,C,3
131.3733263,2946,C,3
111.1197629,2340,C,3
165.1927838,3192,C,3
147.0075366,3200,C,3
180.2978288,2112,C,3
89.02003248,2598,C,3
140.72549,2154,C,3
49.58037559,1602,C,3
162.3450602,2066,C,3
95.11336909,2356,C,3
96.23049132,3084,C,3
188.390603,3378,C,3
224,3542,D,3
156,3352,D,3
266,4332,D,3
228,4798,D,3
84,4530,D,3
284,3714,D,3
250,2716,D,3
161.6,4660.8,D,3
244,4684,D,3
252,4100,D,3
284,5582,D,3
212,5932,D,3
242,5324,D,3
